,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,2352373.0,2146349.0,10287647.0,2535878.0
Total Unusual Items,20469.0,119419.0,-262219.0,-65.0
Total Unusual Items Excluding Goodwill,20469.0,119419.0,-262219.0,-65.0
Net Income From Continuing Operation Net Minority Interest,2372842.0,2253709.0,10011177.0,2535813.0
Reconciled Depreciation,0.0,12059.0,6252.0,0.0
Reconciled Cost Of Revenue,2299762.0,3351121.0,10980847.0,1886500.0
EBITDA,2372842.0,2265768.0,10025428.0,2535813.0
EBIT,2372842.0,2253709.0,10019176.0,2535813.0
Net Interest Income,337511.0,165336.0,34246.0,0.0
Interest Expense,0.0,0.0,7999.0,0.0
Interest Income,337511.0,165336.0,42245.0,0.0
Normalized Income,2352373.0,2134290.0,10273396.0,2535878.0
Net Income From Continuing And Discontinued Operation,2372842.0,2253709.0,10011177.0,2535813.0
Total Expenses,6189779.0,4751061.0,13349064.0,1972595.0
Total Operating Income As Reported,1995367.0,1960929.0,10195588.0,2455878.0
Diluted Average Shares,,187782400.0,143891200.0,100000000.0
Basic Average Shares,,143891200.0,143891200.0,100000000.0
Diluted EPS,,0.012002,0.069575,0.025358
Basic EPS,,0.015663,0.069575,0.025358
Diluted NI Availto Com Stockholders,2372842.0,2253709.0,10011177.0,2535813.0
Net Income Common Stockholders,2372842.0,2253709.0,10011177.0,2535813.0
Net Income,2372842.0,2253709.0,10011177.0,2535813.0
Net Income Including Noncontrolling Interests,2372842.0,2253709.0,10011177.0,2535813.0
Net Income Continuous Operations,2372842.0,2253709.0,10011177.0,2535813.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,2372842.0,2253709.0,10011177.0,2535813.0
Other Income Expense,39964.0,127444.0,-218657.0,79935.0
Other Non Operating Income Expenses,19495.0,8025.0,43562.0,80000.0
Gain On Sale Of Security,20469.0,119419.0,-262219.0,-65.0
Net Non Operating Interest Income Expense,337511.0,165336.0,34246.0,0.0
Interest Expense Non Operating,0.0,0.0,7999.0,0.0
Interest Income Non Operating,337511.0,165336.0,42245.0,0.0
Operating Income,1995367.0,1960929.0,10195588.0,2455878.0
Operating Expense,3890017.0,1399940.0,2368217.0,86095.0
Research And Development,454227.0,134700.0,200000.0,0.0
Selling General And Administration,3435790.0,1265240.0,2168217.0,86095.0
Gross Profit,5885384.0,3360869.0,12563805.0,2541973.0
Cost Of Revenue,2299762.0,3351121.0,10980847.0,1886500.0
Total Revenue,8185146.0,6711990.0,23544652.0,4428473.0
Operating Revenue,8185146.0,6711990.0,23544652.0,4428473.0
